iter	Passed	Remaining
0	1	140
1	2	137
2	4	131
3	4	119
4	6	115
5	7	110
6	8	113
7	10	115
8	11	116
9	13	119
10	14	119
11	15	117
12	17	114
13	18	112
14	19	111
15	20	107
16	21	105
17	22	103
18	23	102
19	25	101
20	27	103
21	29	102
22	30	101
23	31	99
24	32	98
25	34	97
26	35	96
27	36	94
28	38	93
29	39	92
30	41	92
31	43	91
32	44	90
33	45	88
34	46	87
35	48	85
36	49	84
37	50	82
38	52	81
39	53	80
40	55	79
41	55	77
42	57	76
43	58	74
44	60	73
45	61	72
46	63	71
47	64	69
48	65	68
49	67	67
50	68	65
51	69	63
52	70	62
53	72	61
54	73	59
55	74	58
56	75	56
57	76	55
58	78	54
59	79	52
60	80	51
61	81	49
62	82	48
63	83	47
64	85	46
65	87	44
66	88	43
67	89	42
68	90	40
69	91	39
70	92	37
71	93	36
72	94	35
73	95	33
74	96	32
75	98	31
76	99	29
77	101	28
78	102	27
79	103	25
80	104	24
81	106	23
82	107	21
83	108	20
84	109	19
85	110	17
86	111	16
87	112	15
88	114	14
89	115	12
90	117	11
91	118	10
92	119	9
93	121	7
94	122	6
95	123	5
96	125	3
97	126	2
98	127	1
99	129	0
